Publication date,training_dataset_size_(total)
12/31/25,1.97E+13
12/31/25,1.1E+13
11/20/25,5.5E+12
10/10/25,2E+13
9/30/25,2.3E+13
9/22/25,2E+12
9/16/25,3.15E+11
9/5/25,3.6E+13
9/1/25,2.3E+13
8/5/25,2.31E+13
7/25/25,3.6E+13
7/25/25,3.6E+13
7/22/25,7.5E+12
7/15/25,1.4E+13
7/11/25,1.55E+13
7/9/25,144450
5/28/25,1.48E+13
5/11/25,3E+12
4/29/25,3.6E+13
4/10/25,1.32E+13
4/5/25,3E+13
4/5/25,3E+13
4/5/25,3E+13
3/24/25,1.48E+13
3/16/25,12000000000
3/11/25,1.6E+13
2/3/25,830000
1/22/25,9E+12
1/20/25,1.48E+13
12/24/24,1.48E+13
12/9/24,6.5E+12
12/6/24,1.5E+13
11/6/24,7E+12
10/28/24,8.35E+12
10/22/24,45875200000
10/22/24,1.25829E+11
10/22/24,57016320000
10/4/24,3400000000
9/24/24,1.14229E+14
9/20/24,1E+13
9/19/24,1.8E+13
9/17/24,1.8E+13
8/7/24,2400000000
8/6/24,38314782000
7/29/24,7.4E+12
7/29/24,7.588E+12
7/23/24,1.56E+13
6/25/24,7.71E+11
6/17/24,3.191E+12
6/14/24,9E+12
6/7/24,7E+12
5/21/24,6E+11
5/20/24,1E+13
5/13/24,3E+12
5/8/24,29491200000
5/3/24,32430000000
4/18/24,1.5E+13
3/29/24,1.34E+11
3/27/24,1.2E+13
3/4/24,7E+12
2/12/24,1.14422E+12
2/4/24,3E+12
12/21/23,66000000000
12/12/23,32430000000
12/7/23,4096000
12/1/23,96672
11/30/23,3E+12
11/29/23,69000
11/15/23,3.8E+12
11/8/23,3276800000
11/7/23,1.82033E+11
11/4/23,6.2E+12
11/3/23,38000000000
11/2/23,3.1E+12
10/30/23,3.2E+12
10/27/23,1.4E+12
10/26/23,4390400
10/11/23,172649572
10/9/23,63240960
10/7/23,76800
9/28/23,4E+12
9/27/23,1.60358E+14
9/22/23,2304000000
9/6/23,3.5E+12
8/30/23,120000000
8/29/23,3.95E+11
8/28/23,4160566
8/24/23,5E+11
7/26/23,1.35E+11
7/18/23,2E+12
7/18/23,2E+12
7/6/23,2.75E+11
7/6/23,1.6E+12
7/5/23,2.44578E+13
6/27/23,2945000000
6/8/23,1.42848E+13
5/23/23,43700000
5/20/23,51500000000
5/18/23,4.90617E+11
5/17/23,1093333.333
5/16/23,16020450
5/10/23,3.6E+12
5/9/23,2.0375E+11
4/26/23,3140000000
4/14/23,36380002816
4/9/23,52000000000
4/5/23,1100000000
3/30/23,5.69E+11
3/29/23,1243350000
3/27/23,6.705E+12
3/20/23,3.29E+11
3/15/23,1244420
3/15/23,5.41667E+12
3/15/23,5.41667E+12
3/15/23,1E+12
3/5/23,2.304E+11
2/24/23,1.4E+12
2/10/23,4000000000
2/9/23,132303900
1/30/23,2322000000
1/27/23,831488000
1/16/23,14000000000
1/15/23,3E+11
1/10/23,1600000000
1/5/23,76800000000
12/28/22,4E+11
12/19/22,2523746560
12/4/22,6439999999
12/1/22,2.1097E+12
11/28/22,327978752
11/28/22,327978752
11/28/22,22696572400
11/18/22,960000
11/16/22,1.06E+11
11/14/22,7577600000
11/10/22,83692000000
11/3/22,20000000000
11/3/22,2666667
11/2/22,1.55628E+12
