Year,Granted AI patents (% of world total),Label
2010,0.001287001287001287,India
2011,0.0011037527593818985,India
2012,0.0017084282460136675,India
2013,0.0017457546421202983,India
2014,0.004371903235208394,India
2015,0.004030226700251889,India
2016,0.0047138047138047135,India
2017,0.0038045068773778167,India
2018,0.005280490574608222,India
2019,0.005613063128735967,India
2020,0.004921618665694495,India
2021,0.004703796098704577,India
2022,0.004113094231094569,India
2023,0.0036657372478268,India
2024,0.004015425294148844,India
2010,0.08828828828828829,Europe
2011,0.07792494481236203,Europe
2012,0.07915717539863326,Europe
2013,0.056340263450245995,Europe
2014,0.0606237248615564,Europe
2015,0.06272040302267003,Europe
2016,0.06281866281866282,Europe
2017,0.06423763535264852,Europe
2018,0.06018623665682489,Europe
2019,0.05430820819361423,Europe
2020,0.04083120670798396,Europe
2021,0.034534579663971623,Europe
2022,0.02883395364574522,Europe
2023,0.027144497293751024,Europe
2024,0.029502011500784145,Europe
2010,0.37966537966537967,Rest of the world
2011,0.4094922737306843,Rest of the world
2012,0.36161731207289294,Rest of the world
2013,0.3534359625456277,Rest of the world
2014,0.3267269017779073,Rest of the world
2015,0.2469773299748111,Rest of the world
2016,0.22905242905242906,Rest of the world
2017,0.21678372841673982,Rest of the world
2018,0.20889166477401772,Rest of the world
2019,0.19889925645137776,Rest of the world
2020,0.18581388990156764,Rest of the world
2021,0.17017823329626403,Rest of the world
2022,0.1401624090678396,Rest of the world
2023,0.12762834180744628,Rest of the world
2024,0.10348432847694161,Rest of the world
2010,0.39742599742599743,United States
2011,0.3227373068432671,United States
2012,0.3462414578587699,United States
2013,0.3834312013966037,United States
2014,0.425531914893617,United States
2015,0.42770780856423174,United States
2016,0.3901875901875902,United States
2017,0.34511267193444545,United States
2018,0.289064274358392,United States
2019,0.3133109782767167,United States
2020,0.2676130149471382,United States
2021,0.21015298608397703,United States
2022,0.1736909998308239,United States
2023,0.13896998523864196,United States
2024,0.12061428430726337,United States
2010,0.13333333333333333,China
2011,0.18874172185430463,China
2012,0.21127562642369022,China
2013,0.2050468179654023,China
2014,0.18274555523171088,China
2015,0.2585642317380353,China
2016,0.31322751322751324,China
2017,0.37006145741878843,China
2018,0.43657733363615714,China
2019,0.42786849394955534,China
2020,0.5008202697776157,China
2021,0.5804304048570827,China
2022,0.6531995432244967,China
2023,0.702591438412334,China
2024,0.742383950420862,China
