Year,Number of AI projects (in thousands)
2011,0.15
2012,0.258
2013,0.682
2014,1.573
2015,3.266
2016,6.733
2017,14.644
2018,27.51
2019,43.892
2020,63.012
2021,81.379
2022,103.195
2023,138.316
2024,174.713
2025,206.879
