Year,Arena score (Elo-like),Label
2026-02-01,1481.0,OpenAI
2026-03-01,1481.0,OpenAI
2023-05-01,1117.0,Google
2023-06-01,1116.0,Google
2023-07-01,1117.0,Google
2023-08-01,1116.0,Google
2023-09-01,1122.0,Google
2023-10-01,1130.0,Google
2023-11-01,1137.0,Google
2023-12-01,1217.0,Google
2024-01-01,1217.0,Google
2024-02-01,1216.0,Google
2024-03-01,1220.0,Google
2024-04-01,1229.0,Google
2024-05-01,1317.0,Google
2024-06-01,1322.0,Google
2024-07-01,1327.0,Google
2024-08-01,1328.0,Google
2024-09-01,1352.0,Google
2024-10-01,1353.0,Google
2024-11-01,1351.0,Google
2024-12-01,1351.0,Google
2025-01-01,1349.0,Google
2025-02-01,1372.0,Google
2025-03-01,1370.0,Google
2025-04-01,1369.0,Google
2025-05-01,1492.0,Google
2025-06-01,1472.0,Google
2025-07-01,1462.0,Google
2025-08-01,1461.0,Google
2025-09-01,1453.0,Google
2025-10-01,1452.0,Google
2025-11-01,1492.0,Google
2025-12-01,1490.0,Google
2026-01-01,1487.0,Google
2026-02-01,1500.0,Google
2026-03-01,1494.0,Google
2024-08-01,1331.0,xAI
2024-09-01,1331.0,xAI
2024-10-01,1330.0,xAI
2024-11-01,1332.0,xAI
2024-12-01,1329.0,xAI
2025-01-01,1331.0,xAI
2025-02-01,1331.0,xAI
2025-03-01,1411.0,xAI
2025-04-01,1414.0,xAI
2025-05-01,1412.0,xAI
2025-06-01,1414.0,xAI
2025-07-01,1432.0,xAI
2025-08-01,1427.0,xAI
2025-09-01,1425.0,xAI
2025-10-01,1420.0,xAI
2025-11-01,1482.0,xAI
2025-12-01,1477.0,xAI
2026-01-01,1475.0,xAI
2026-02-01,1493.0,xAI
2026-03-01,1495.0,xAI
2024-03-01,1333.0,Anthropic
2024-04-01,1323.0,Anthropic
2024-05-01,1320.0,Anthropic
2024-06-01,1340.0,Anthropic
2024-07-01,1339.0,Anthropic
2024-08-01,1338.0,Anthropic
2024-09-01,1337.0,Anthropic
2024-10-01,1364.0,Anthropic
2024-11-01,1363.0,Anthropic
2024-12-01,1365.0,Anthropic
2025-01-01,1365.0,Anthropic
2025-02-01,1396.0,Anthropic
2025-03-01,1397.0,Anthropic
2025-04-01,1391.0,Anthropic
2025-05-01,1423.0,Anthropic
2025-06-01,1420.0,Anthropic
2025-07-01,1423.0,Anthropic
2025-08-01,1458.0,Anthropic
2025-09-01,1450.0,Anthropic
2025-10-01,1448.0,Anthropic
2025-11-01,1466.0,Anthropic
2025-12-01,1470.0,Anthropic
2026-01-01,1468.0,Anthropic
2026-02-01,1504.0,Anthropic
2026-03-01,1503.0,Anthropic
