domain,model_planner,solved_tasks
Blocksworld,LAMA,28
Blocksworld,R1,19
Blocksworld,Gemini,21
Blocksworld,GPT-5,21
Childsnack,LAMA,18
Childsnack,R1,33
Childsnack,Gemini,38
Childsnack,GPT-5,38
Floortile,LAMA,10
Floortile,R1,5
Floortile,Gemini,6
Floortile,GPT-5,10
Miconic,LAMA,45
Miconic,R1,27
Miconic,Gemini,23
Miconic,GPT-5,35
Rovers,LAMA,34
Rovers,R1,9
Rovers,Gemini,6
Rovers,GPT-5,14
Sokoban,LAMA,21
Sokoban,R1,10
Sokoban,Gemini,9
Sokoban,GPT-5,15
Spanner,LAMA,15
Spanner,R1,38
Spanner,Gemini,30
Spanner,GPT-5,45
Transport,LAMA,33
Transport,R1,16
Transport,Gemini,22
Transport,GPT-5,27
