Year,Arena score (Elo-like),Label
2023-05-01,1148,top open model
2023-06-01,1179,top open model
2023-07-01,1184,top open model
2023-08-01,1189,top open model
2023-09-01,1199,top open model
2023-10-01,1183,top open model
2023-11-01,1185,top open model
2023-12-01,1208,top open model
2024-01-01,1207,top open model
2024-02-01,1234,top open model
2024-03-01,1246,top open model
2024-04-01,1279,top open model
2024-05-01,1270,top open model
2024-06-01,1275,top open model
2024-07-01,1327,top open model
2024-08-01,1334,top open model
2024-09-01,1334,top open model
2024-10-01,1334,top open model
2024-11-01,1334,top open model
2024-12-01,1360,top open model
2025-01-01,1397,top open model
2025-02-01,1400,top open model
2025-03-01,1395,top open model
2025-04-01,1404,top open model
2025-05-01,1401,top open model
2025-06-01,1423,top open model
2025-07-01,1438,top open model
2025-08-01,1431,top open model
2025-09-01,1420,top open model
2025-10-01,1429,top open model
2025-11-01,1431,top open model
2025-12-01,1439,top open model
2026-01-01,1450,top open model
2026-02-01,1456,top open model
2026-03-01,1454,top open model
2023-05-01,1322,top closed model
2023-06-01,1314,top closed model
2023-07-01,1312,top closed model
2023-08-01,1313,top closed model
2023-09-01,1313,top closed model
2023-10-01,1314,top closed model
2023-11-01,1313,top closed model
2023-12-01,1312,top closed model
2024-01-01,1334,top closed model
2024-02-01,1329,top closed model
2024-03-01,1333,top closed model
2024-04-01,1338,top closed model
2024-05-01,1340,top closed model
2024-06-01,1341,top closed model
2024-07-01,1341,top closed model
2024-08-01,1341,top closed model
2024-09-01,1387,top closed model
2024-10-01,1384,top closed model
2024-11-01,1384,top closed model
2024-12-01,1407,top closed model
2025-01-01,1405,top closed model
2025-02-01,1405,top closed model
2025-03-01,1441,top closed model
2025-04-01,1461,top closed model
2025-05-01,1492,top closed model
2025-06-01,1472,top closed model
2025-07-01,1482,top closed model
2025-08-01,1461,top closed model
2025-09-01,1453,top closed model
2025-10-01,1452,top closed model
2025-11-01,1492,top closed model
2025-12-01,1490,top closed model
2026-01-01,1487,top closed model
2026-02-01,1504,top closed model
2026-03-01,1503,top closed model
