Month-Year,Number of weekly paid trips (in thousands)
3/31/23,0.216774194
4/30/23,0.295633333
5/31/23,0.260580645
8/31/23,2.849
9/30/23,8.977033333
10/31/23,12.75783871
11/30/23,13.27783333
12/31/23,16.39241935
1/31/24,17.44174194
2/29/24,17.91831034
3/31/24,18.93409677
4/30/24,21.46713333
5/31/24,32.43054839
6/30/24,44.0643
7/31/24,56.62141935
8/31/24,70.50693548
9/30/24,82.62893333
10/31/24,102.3982581
11/30/24,117.5146
12/31/24,122.2466452
1/31/25,124.2967419
2/28/25,139.89225
3/31/25,159.9116129
4/30/25,181.0802
5/31/25,197.7143226
6/30/25,136.0944667
7/31/25,175.8607742
8/31/25,198.854871
9/30/25,237.1940667
10/31/25,275.0033548
11/30/25,297.1437
12/31/25,283.8809355
