AI System,ARC-AGI-2 (%)
GPT-5.2 Pro (Medium),0.385
GPT-5.2 (High),0.433
Gemini 3 Deep Think (Preview),0.451
GPT-5.2 (X-High),0.529
Gemini 3 Pro (Refine),0.54
GPT-5.2 Pro (High),0.542
Claude Sonnet 4.6 (Max),0.583
Claude Sonnet 4.6 (High),0.604
"Claude Opus 4.6 (120K, Low)",0.646
"Claude Opus 4.6 (120K, Medium)",0.663
"Claude Opus 4.6 (120K, Max)",0.688
"Claude Opus 4.6 (120K, High)",0.692
GPT-5.2 (Refine),0.729
Gemini 3.1 Pro (Preview),0.771
Gemini 3 Deep Think (2/26),0.846
