Year,Arena score (Elo-like),Label
2023-05-01,976,top China model
2023-06-01,986,top China model
2023-07-01,991,top China model
2023-08-01,995,top China model
2023-09-01,1027,top China model
2023-10-01,1154,top China model
2023-11-01,1172,top China model
2023-12-01,1176,top China model
2024-01-01,1189,top China model
2024-02-01,1234,top China model
2024-03-01,1238,top China model
2024-04-01,1235,top China model
2024-05-01,1237,top China model
2024-06-01,1271,top China model
2024-07-01,1270,top China model
2024-08-01,1270,top China model
2024-09-01,1299,top China model
2024-10-01,1324,top China model
2024-11-01,1326,top China model
2024-12-01,1360,top China model
2025-01-01,1397,top China model
2025-02-01,1400,top China model
2025-03-01,1395,top China model
2025-04-01,1404,top China model
2025-05-01,1401,top China model
2025-06-01,1423,top China model
2025-07-01,1438,top China model
2025-08-01,1431,top China model
2025-09-01,1436,top China model
2025-10-01,1433,top China model
2025-11-01,1433,top China model
2025-12-01,1448,top China model
2026-01-01,1453,top China model
2026-02-01,1470,top China model
2026-03-01,1464,top China model
2023-05-01,1322,top US model
2023-06-01,1314,top US model
2023-07-01,1312,top US model
2023-08-01,1313,top US model
2023-09-01,1313,top US model
2023-10-01,1314,top US model
2023-11-01,1313,top US model
2023-12-01,1312,top US model
2024-01-01,1334,top US model
2024-02-01,1329,top US model
2024-03-01,1333,top US model
2024-04-01,1338,top US model
2024-05-01,1340,top US model
2024-06-01,1341,top US model
2024-07-01,1341,top US model
2024-08-01,1341,top US model
2024-09-01,1387,top US model
2024-10-01,1384,top US model
2024-11-01,1384,top US model
2024-12-01,1407,top US model
2025-01-01,1405,top US model
2025-02-01,1405,top US model
2025-03-01,1441,top US model
2025-04-01,1461,top US model
2025-05-01,1492,top US model
2025-06-01,1472,top US model
2025-07-01,1482,top US model
2025-08-01,1461,top US model
2025-09-01,1453,top US model
2025-10-01,1452,top US model
2025-11-01,1492,top US model
2025-12-01,1490,top US model
2026-01-01,1487,top US model
2026-02-01,1504,top US model
2026-03-01,1503,top US model
