Model,Value
GPT-5.1,7.1
Grok 4.1 Fast Reasoning,18.6
Claude Opus 4.5,23.799999999999997
GPT-5 Pro,28.599999999999998
Gemini 3 Pro,30.0
GPT-5.2 Thinking (high),35.699999999999996
Gemini Deep Think<br>(IMO Gold),65.7
Gemini 3 Deep Think,76.7
Aletheia,91.9
