domain,model_planner,solved_tasks
Blocksworld,LAMA,28
Blocksworld,R1,3
Blocksworld,Gemini,28
Blocksworld,GPT-5,12
Childsnack,LAMA,18
Childsnack,R1,28
Childsnack,Gemini,25
Childsnack,GPT-5,33
Floortile,LAMA,10
Floortile,R1,0
Floortile,Gemini,5
Floortile,GPT-5,3
Miconic,LAMA,45
Miconic,R1,14
Miconic,Gemini,9
Miconic,GPT-5,28
Rovers,LAMA,34
Rovers,R1,5
Rovers,Gemini,8
Rovers,GPT-5,10
Sokoban,LAMA,21
Sokoban,R1,0
Sokoban,Gemini,5
Sokoban,GPT-5,7
Spanner,LAMA,15
Spanner,R1,34
Spanner,Gemini,39
Spanner,GPT-5,38
Transport,LAMA,33
Transport,R1,9
Transport,Gemini,27
Transport,GPT-5,21
