state_2digit,ai_state_share
AL,0.016719
AK,0.022009
AZ,0.020809
AR,0.025182
CA,0.042635
CO,0.023367
CT,0.019739
DE,0.044269
FL,0.01581
GA,0.024367
HI,0.019386
ID,0.028551
IL,0.028548
IN,0.01417
IA,0.014782
KS,0.020951
KY,0.013668
LA,0.014332
ME,0.025073
MD,0.026797
MA,0.034067
MI,0.018014
MN,0.021796
MS,0.01543
MO,0.015846
MT,0.019364
NE,0.019625
NV,0.018692
NH,0.015231
NJ,0.026287
NM,0.018892
NY,0.032126
NC,0.020676
ND,0.020027
OH,0.016561
OK,0.013903
OR,0.020751
PA,0.017726
RI,0.031104
SC,0.013768
SD,0.02181
TN,0.016147
TX,0.023757
UT,0.025346
VT,0.032032
VA,0.033173
WA,0.040348
DC,0.06184
WV,0.017182
WI,0.013163
WY,0.028335
