Total Investment (in Billions of U.S. Dollars),Country
4.235812708,United Arab Emirates
4.727710699,Switzerland
6.503906777,Australia
6.999350116,Japan
8.237482616,Sweden
9.089599712,Singapore
10.752440467,South Korea
15.388047301,India
15.566921644,France
17.155814637,Germany
18.54080544,Israel
19.586604921,Canada
34.069315558,United Kingdom
131.829515814,China
757.268161557,United States
