Number of AI Job Postings,Skill,Label
9742,Amazon Web Services,2013–15
26767,Data science,2013–15
60745,Project management,2013–15
65300,SQL (programming language),2013–15
54942,Data analysis,2013–15
20295,Workflow management,2013–15
26870,Automation,2013–15
23727,Scalability,2013–15
97085,Computer science,2013–15
52678,Python (programming language),2013–15
142037,Amazon Web Services,2025
142120,Data science,2025
149865,Project management,2025
151191,SQL (programming language),2025
170396,Data analysis,2025
186325,Workflow management,2025
190758,Automation,2025
197744,Scalability,2025
257127,Computer science,2025
258674,Python (programming language),2025
