Business Function,Actual Decrease (Past Year),Expected Decrease (Next Year),Actual Increase (Past Year),Expected Increase (Next Year)
Human resources,22,31,5,7
Service operations,21,39,7,10
Supply chain/inventory management,19,33,8,10
Software engineering,18,32,15,21
IT,18,28,13,20
Product/service development,17,25,12,16
Risk,17,26,12,11
Marketing and sales,18,32,8,11
Manufacturing,16,30,10,10
Knowledge management,16,27,11,13
Strategy and corporate finance,12,28,10,13
