Year,% of respondents,Label
2023,0.33,GenAI
2024,0.71,GenAI
2025,0.79,GenAI
2017,0.2,AI
2018,0.47,AI
2019,0.58,AI
2020,0.5,AI
2021,0.56,AI
2022,0.5,AI
2023,0.55,AI
2024,0.78,AI
2025,0.88,AI
