date,country,relative_ai_hiring_index
1/1/18,Argentina,0.20497
2/1/18,Argentina,0.01366
3/1/18,Argentina,0.12021
4/1/18,Argentina,0.22328
5/1/18,Argentina,0.10927
6/1/18,Argentina,-0.10708
7/1/18,Argentina,-0.13832
8/1/18,Argentina,0.03112
9/1/18,Argentina,0.12745
10/1/18,Argentina,0.38008
11/1/18,Argentina,0.13206
12/1/18,Argentina,0.07922
1/1/19,Argentina,0.0786
2/1/19,Argentina,0.30177
3/1/19,Argentina,0.29053
4/1/19,Argentina,0.23389
5/1/19,Argentina,0.14201
6/1/19,Argentina,0.27817
7/1/19,Argentina,0.35344
8/1/19,Argentina,0.24676
9/1/19,Argentina,0.25931
10/1/19,Argentina,0.20429
11/1/19,Argentina,0.22157
12/1/19,Argentina,0.10168
1/1/20,Argentina,0.0186
2/1/20,Argentina,-0.01717
3/1/20,Argentina,0.06797
4/1/20,Argentina,0.22338
5/1/20,Argentina,0.63078
6/1/20,Argentina,0.57925
7/1/20,Argentina,0.36373
8/1/20,Argentina,0.191
9/1/20,Argentina,0.16386
10/1/20,Argentina,0.22675
11/1/20,Argentina,0.22535
12/1/20,Argentina,0.21935
1/1/21,Argentina,0.219
2/1/21,Argentina,0.17998
3/1/21,Argentina,0.12928
4/1/21,Argentina,0.02173
5/1/21,Argentina,-0.14656
6/1/21,Argentina,-0.13589
7/1/21,Argentina,-0.06736
8/1/21,Argentina,0.02514
9/1/21,Argentina,-0.05893
10/1/21,Argentina,-0.1423
11/1/21,Argentina,-0.15291
12/1/21,Argentina,-0.1485
1/1/22,Argentina,-0.09404
2/1/22,Argentina,-0.14604
3/1/22,Argentina,-0.14019
4/1/22,Argentina,-0.18731
5/1/22,Argentina,-0.15252
6/1/22,Argentina,-0.19522
7/1/22,Argentina,-0.17107
8/1/22,Argentina,-0.20442
9/1/22,Argentina,-0.13861
10/1/22,Argentina,-0.18057
11/1/22,Argentina,-0.14225
12/1/22,Argentina,-0.12853
1/1/23,Argentina,-0.10251
2/1/23,Argentina,-0.1105
3/1/23,Argentina,-0.18631
4/1/23,Argentina,-0.1979
5/1/23,Argentina,-0.19303
6/1/23,Argentina,-0.14394
7/1/23,Argentina,-0.13401
8/1/23,Argentina,-0.06827
9/1/23,Argentina,-0.07195
10/1/23,Argentina,0.03681
11/1/23,Argentina,-0.03546
12/1/23,Argentina,-0.00763
1/1/24,Argentina,-0.05843
2/1/24,Argentina,-0.02004
3/1/24,Argentina,0.15315
4/1/24,Argentina,0.20499
5/1/24,Argentina,0.30839
6/1/24,Argentina,0.20009
7/1/24,Argentina,0.23148
8/1/24,Argentina,0.16837
9/1/24,Argentina,0.17124
10/1/24,Argentina,0.13816
11/1/24,Argentina,0.13398
12/1/24,Argentina,0.16299
1/1/25,Argentina,0.14928
2/1/25,Argentina,0.20397
3/1/25,Argentina,0.08534
4/1/25,Argentina,0.10077
5/1/25,Argentina,0.02394
6/1/25,Argentina,0.05817
7/1/25,Argentina,0.01433
8/1/25,Argentina,-0.00195
9/1/25,Argentina,0.03708
10/1/25,Argentina,0.0364
11/1/25,Argentina,0.06781
12/1/25,Argentina,0.01912
1/1/18,Australia,0.04056
2/1/18,Australia,0.0555
3/1/18,Australia,0.0375
4/1/18,Australia,0.04676
5/1/18,Australia,0.02697
6/1/18,Australia,0.09099
7/1/18,Australia,0.08041
8/1/18,Australia,0.08873
9/1/18,Australia,0.06281
10/1/18,Australia,0.04189
11/1/18,Australia,0.06632
12/1/18,Australia,0.11997
1/1/19,Australia,0.1564
2/1/19,Australia,0.11772
3/1/19,Australia,0.09126
4/1/19,Australia,0.04074
5/1/19,Australia,0.06299
6/1/19,Australia,-0.0055
7/1/19,Australia,0.03129
8/1/19,Australia,0.02584
9/1/19,Australia,0.04682
10/1/19,Australia,0.03573
11/1/19,Australia,0.01465
12/1/19,Australia,0.02373
1/1/20,Australia,0.01467
2/1/20,Australia,0.03114
3/1/20,Australia,-0.00076
4/1/20,Australia,0.02884
5/1/20,Australia,-0.00135
6/1/20,Australia,0.02618
7/1/20,Australia,-0.03797
8/1/20,Australia,-0.02269
9/1/20,Australia,-0.01842
10/1/20,Australia,0.00695
11/1/20,Australia,-0.01573
12/1/20,Australia,-0.0436
1/1/21,Australia,-0.04691
2/1/21,Australia,-0.03359
3/1/21,Australia,-0.02735
4/1/21,Australia,-0.031
5/1/21,Australia,-0.02008
6/1/21,Australia,0.02435
7/1/21,Australia,0.06199
8/1/21,Australia,0.07698
9/1/21,Australia,0.06441
10/1/21,Australia,0.06881
11/1/21,Australia,0.0842
12/1/21,Australia,0.06515
1/1/22,Australia,0.02683
2/1/22,Australia,-0.0334
3/1/22,Australia,-0.02943
4/1/22,Australia,-0.02179
5/1/22,Australia,0.00587
6/1/22,Australia,-0.04757
7/1/22,Australia,-0.09375
8/1/22,Australia,-0.15891
9/1/22,Australia,-0.1648
10/1/22,Australia,-0.18053
11/1/22,Australia,-0.16928
12/1/22,Australia,-0.18597
1/1/23,Australia,-0.17282
2/1/23,Australia,-0.11429
3/1/23,Australia,-0.09886
4/1/23,Australia,-0.10821
5/1/23,Australia,-0.15649
6/1/23,Australia,-0.1552
7/1/23,Australia,-0.1189
8/1/23,Australia,-0.09224
9/1/23,Australia,-0.07025
10/1/23,Australia,-0.06183
11/1/23,Australia,-0.04988
12/1/23,Australia,0.00309
1/1/24,Australia,0.00955
2/1/24,Australia,0.01543
3/1/24,Australia,0.0184
4/1/24,Australia,0.04784
5/1/24,Australia,0.04057
6/1/24,Australia,0.05906
7/1/24,Australia,0.06375
8/1/24,Australia,0.12306
9/1/24,Australia,0.10962
10/1/24,Australia,0.13674
11/1/24,Australia,0.12229
12/1/24,Australia,0.11275
1/1/25,Australia,0.11006
2/1/25,Australia,0.08684
3/1/25,Australia,0.08676
4/1/25,Australia,0.0484
5/1/25,Australia,0.08346
6/1/25,Australia,0.08417
7/1/25,Australia,0.10202
8/1/25,Australia,0.07186
9/1/25,Australia,0.08147
10/1/25,Australia,0.04662
11/1/25,Australia,0.02596
12/1/25,Australia,0.0037
1/1/18,Austria,0.15833
2/1/18,Austria,0.25068
3/1/18,Austria,0.18561
4/1/18,Austria,-0.02957
5/1/18,Austria,-0.18308
6/1/18,Austria,-0.15193
7/1/18,Austria,-0.03327
8/1/18,Austria,0.09577
9/1/18,Austria,0.17689
10/1/18,Austria,0.17018
11/1/18,Austria,-0.0159
12/1/18,Austria,-0.04391
1/1/19,Austria,-0.03949
2/1/19,Austria,-0.01716
3/1/19,Austria,0.06813
4/1/19,Austria,0.04647
5/1/19,Austria,0.12618
6/1/19,Austria,0.03021
7/1/19,Austria,0.10599
8/1/19,Austria,0.04276
9/1/19,Austria,-0.07738
10/1/19,Austria,-0.20313
11/1/19,Austria,-0.08837
12/1/19,Austria,-0.00793
1/1/20,Austria,-0.02427
2/1/20,Austria,-0.10095
3/1/20,Austria,-0.15171
4/1/20,Austria,0.01387
5/1/20,Austria,0.11035
6/1/20,Austria,0.19302
7/1/20,Austria,0.00859
8/1/20,Austria,-0.07578
9/1/20,Austria,0.00803
10/1/20,Austria,0.2574
11/1/20,Austria,0.22763
12/1/20,Austria,0.10601
1/1/21,Austria,-0.00189
2/1/21,Austria,-0.05548
3/1/21,Austria,-0.04625
4/1/21,Austria,-0.17206
5/1/21,Austria,-0.17925
6/1/21,Austria,-0.20492
7/1/21,Austria,-0.15648
8/1/21,Austria,-0.11731
9/1/21,Austria,-0.12922
10/1/21,Austria,-0.22673
11/1/21,Austria,-0.25158
12/1/21,Austria,-0.21536
1/1/22,Austria,-0.11138
2/1/22,Austria,-0.05847
3/1/22,Austria,-0.01221
4/1/22,Austria,-0.02866
5/1/22,Austria,-0.10162
6/1/22,Austria,-0.18593
7/1/22,Austria,-0.1699
8/1/22,Austria,-0.10474
9/1/22,Austria,-0.06128
10/1/22,Austria,-0.02056
11/1/22,Austria,0.01697
12/1/22,Austria,0.02152
1/1/23,Austria,-0.0662
2/1/23,Austria,-0.08628
3/1/23,Austria,-0.10151
4/1/23,Austria,-0.02223
5/1/23,Austria,-0.01059
6/1/23,Austria,0.08806
7/1/23,Austria,0.08101
8/1/23,Austria,0.01326
9/1/23,Austria,-0.07613
10/1/23,Austria,-0.05937
11/1/23,Austria,-0.02725
12/1/23,Austria,-0.0034
1/1/24,Austria,-0.01989
2/1/24,Austria,0.0193
3/1/24,Austria,0.02611
4/1/24,Austria,0.0342
5/1/24,Austria,0.07968
6/1/24,Austria,0.11384
7/1/24,Austria,0.11298
8/1/24,Austria,0.10933
9/1/24,Austria,0.10291
10/1/24,Austria,0.1306
11/1/24,Austria,0.07345
12/1/24,Austria,0.10228
1/1/25,Austria,0.08651
2/1/25,Austria,0.09552
3/1/25,Austria,0.00455
4/1/25,Austria,-0.01782
5/1/25,Austria,-0.05979
6/1/25,Austria,-0.04038
7/1/25,Austria,-0.03715
8/1/25,Austria,0.01422
9/1/25,Austria,0.07719
10/1/25,Austria,0.10473
11/1/25,Austria,0.12982
12/1/25,Austria,0.11285
1/1/18,Belgium,-0.10275
2/1/18,Belgium,-0.12087
3/1/18,Belgium,-0.06898
4/1/18,Belgium,-0.07681
5/1/18,Belgium,-0.06286
6/1/18,Belgium,-0.04437
7/1/18,Belgium,0.01013
8/1/18,Belgium,0.00938
9/1/18,Belgium,-0.02195
10/1/18,Belgium,0.02711
11/1/18,Belgium,0.04934
12/1/18,Belgium,0.12795
1/1/19,Belgium,0.12217
2/1/19,Belgium,0.16627
3/1/19,Belgium,0.12005
4/1/19,Belgium,0.1187
5/1/19,Belgium,0.06969
6/1/19,Belgium,0.00236
7/1/19,Belgium,-0.05791
8/1/19,Belgium,-0.02528
9/1/19,Belgium,0.06916
10/1/19,Belgium,0.06858
11/1/19,Belgium,0.04095
12/1/19,Belgium,-0.02481
1/1/20,Belgium,-0.04749
2/1/20,Belgium,-0.04421
3/1/20,Belgium,0.00973
4/1/20,Belgium,0.05148
5/1/20,Belgium,0.05604
6/1/20,Belgium,0.07285
7/1/20,Belgium,0.09858
8/1/20,Belgium,0.08212
9/1/20,Belgium,0.02117
10/1/20,Belgium,-0.06276
11/1/20,Belgium,-0.03365
12/1/20,Belgium,0.00557
1/1/21,Belgium,0.03968
2/1/21,Belgium,0.04414
3/1/21,Belgium,-0.02901
4/1/21,Belgium,-0.01438
5/1/21,Belgium,-0.01907
6/1/21,Belgium,0.04367
7/1/21,Belgium,0.00625
8/1/21,Belgium,-0.04468
9/1/21,Belgium,-0.05584
10/1/21,Belgium,-0.01118
11/1/21,Belgium,-0.02731
12/1/21,Belgium,-0.08174
1/1/22,Belgium,-0.06373
2/1/22,Belgium,-0.07566
3/1/22,Belgium,-0.02534
4/1/22,Belgium,-0.07105
5/1/22,Belgium,-0.06306
6/1/22,Belgium,-0.12833
7/1/22,Belgium,-0.10668
8/1/22,Belgium,-0.09399
9/1/22,Belgium,-0.01481
10/1/22,Belgium,0.00719
11/1/22,Belgium,0.06561
12/1/22,Belgium,0.10063
1/1/23,Belgium,0.11142
2/1/23,Belgium,0.09894
3/1/23,Belgium,0.03214
4/1/23,Belgium,-0.01536
5/1/23,Belgium,-0.02101
6/1/23,Belgium,0.00024
7/1/23,Belgium,-0.00819
8/1/23,Belgium,-0.0043
9/1/23,Belgium,-0.04181
10/1/23,Belgium,-0.02645
11/1/23,Belgium,-0.04589
12/1/23,Belgium,-0.01577
1/1/24,Belgium,-0.0495
2/1/24,Belgium,-0.04764
3/1/24,Belgium,-0.00415
4/1/24,Belgium,0.0861
5/1/24,Belgium,0.12005
6/1/24,Belgium,0.14495
7/1/24,Belgium,0.09404
8/1/24,Belgium,0.07099
9/1/24,Belgium,0.04915
10/1/24,Belgium,0.06236
11/1/24,Belgium,0.06357
12/1/24,Belgium,-0.00421
1/1/25,Belgium,0.02199
2/1/25,Belgium,0.0498
3/1/25,Belgium,0.06197
4/1/25,Belgium,0.01759
5/1/25,Belgium,0.00344
6/1/25,Belgium,0.05589
7/1/25,Belgium,0.15453
8/1/25,Belgium,0.19427
9/1/25,Belgium,0.17044
10/1/25,Belgium,0.11736
11/1/25,Belgium,0.11816
12/1/25,Belgium,0.21485
1/1/18,Brazil,0.10719
2/1/18,Brazil,0.20082
3/1/18,Brazil,0.24727
4/1/18,Brazil,0.18399
5/1/18,Brazil,0.12787
6/1/18,Brazil,0.22279
7/1/18,Brazil,0.28834
8/1/18,Brazil,0.2443
9/1/18,Brazil,0.10559
10/1/18,Brazil,0.05298
11/1/18,Brazil,0.11709
12/1/18,Brazil,0.15336
1/1/19,Brazil,0.14531
2/1/19,Brazil,0.08943
3/1/19,Brazil,0.05162
4/1/19,Brazil,0.02891
5/1/19,Brazil,0.02514
6/1/19,Brazil,-0.01326
7/1/19,Brazil,-0.00211
8/1/19,Brazil,0.03385
9/1/19,Brazil,0.09254
10/1/19,Brazil,0.093
11/1/19,Brazil,0.05358
12/1/19,Brazil,0.02837
1/1/20,Brazil,0.01658
2/1/20,Brazil,0.0179
3/1/20,Brazil,0.09365
4/1/20,Brazil,0.21571
5/1/20,Brazil,0.24575
6/1/20,Brazil,0.17564
7/1/20,Brazil,0.08857
8/1/20,Brazil,0.10046
9/1/20,Brazil,0.1329
10/1/20,Brazil,0.12102
11/1/20,Brazil,0.10822
12/1/20,Brazil,0.08558
1/1/21,Brazil,0.05309
2/1/21,Brazil,0.01783
3/1/21,Brazil,-0.01828
4/1/21,Brazil,-0.04593
5/1/21,Brazil,-0.01938
6/1/21,Brazil,0.02953
7/1/21,Brazil,0.08015
8/1/21,Brazil,0.04316
9/1/21,Brazil,0.02582
10/1/21,Brazil,-0.00708
11/1/21,Brazil,-0.02845
12/1/21,Brazil,-0.07764
1/1/22,Brazil,-0.08225
2/1/22,Brazil,-0.0866
3/1/22,Brazil,-0.11042
4/1/22,Brazil,-0.1511
5/1/22,Brazil,-0.1716
6/1/22,Brazil,-0.18138
7/1/22,Brazil,-0.19382
8/1/22,Brazil,-0.22175
9/1/22,Brazil,-0.25243
10/1/22,Brazil,-0.25287
11/1/22,Brazil,-0.23424
12/1/22,Brazil,-0.18313
1/1/23,Brazil,-0.15721
2/1/23,Brazil,-0.12026
3/1/23,Brazil,-0.14012
4/1/23,Brazil,-0.1565
5/1/23,Brazil,-0.19558
6/1/23,Brazil,-0.20646
7/1/23,Brazil,-0.19716
8/1/23,Brazil,-0.17696
9/1/23,Brazil,-0.12741
10/1/23,Brazil,-0.09535
11/1/23,Brazil,-0.07059
12/1/23,Brazil,-0.06057
1/1/24,Brazil,-0.0548
2/1/24,Brazil,-0.03482
3/1/24,Brazil,0.0278
4/1/24,Brazil,0.08955
5/1/24,Brazil,0.14342
6/1/24,Brazil,0.16575
7/1/24,Brazil,0.18923
8/1/24,Brazil,0.22153
9/1/24,Brazil,0.2301
10/1/24,Brazil,0.23619
11/1/24,Brazil,0.23721
12/1/24,Brazil,0.20187
1/1/25,Brazil,0.16906
2/1/25,Brazil,0.1276
3/1/25,Brazil,0.12124
4/1/25,Brazil,0.12151
5/1/25,Brazil,0.1191
6/1/25,Brazil,0.13005
7/1/25,Brazil,0.13093
8/1/25,Brazil,0.12668
9/1/25,Brazil,0.08263
10/1/25,Brazil,0.08663
11/1/25,Brazil,0.07072
12/1/25,Brazil,0.07959
1/1/18,Canada,0.09415
2/1/18,Canada,0.08686
3/1/18,Canada,0.03906
4/1/18,Canada,0.02471
5/1/18,Canada,0.08361
6/1/18,Canada,0.06932
7/1/18,Canada,0.11208
8/1/18,Canada,0.10302
9/1/18,Canada,0.12922
10/1/18,Canada,0.07169
11/1/18,Canada,0.07009
12/1/18,Canada,0.0095
1/1/19,Canada,0.01464
2/1/19,Canada,0.03345
3/1/19,Canada,0.06997
4/1/19,Canada,0.05502
5/1/19,Canada,0.03723
6/1/19,Canada,0.03872
7/1/19,Canada,0.02248
8/1/19,Canada,-0.0103
9/1/19,Canada,-0.01643
10/1/19,Canada,0.01459
11/1/19,Canada,0.01191
12/1/19,Canada,0.01375
1/1/20,Canada,0.01858
2/1/20,Canada,0.01696
3/1/20,Canada,0.02308
4/1/20,Canada,0.09825
5/1/20,Canada,0.23682
6/1/20,Canada,0.26624
7/1/20,Canada,0.19158
8/1/20,Canada,0.06276
9/1/20,Canada,0.01491
10/1/20,Canada,0.01886
11/1/20,Canada,0.02623
12/1/20,Canada,0.04569
1/1/21,Canada,0.04643
2/1/21,Canada,0.03834
3/1/21,Canada,0.01943
4/1/21,Canada,-0.06278
5/1/21,Canada,-0.17991
6/1/21,Canada,-0.20082
7/1/21,Canada,-0.13385
8/1/21,Canada,0.00077
9/1/21,Canada,0.02017
10/1/21,Canada,-0.0042
11/1/21,Canada,-0.00429
12/1/21,Canada,0.00594
1/1/22,Canada,-0.00787
2/1/22,Canada,-0.0264
3/1/22,Canada,-0.03299
4/1/22,Canada,-0.01112
5/1/22,Canada,-0.02375
6/1/22,Canada,-0.02186
7/1/22,Canada,-0.05888
8/1/22,Canada,-0.06574
9/1/22,Canada,-0.06326
10/1/22,Canada,-0.07306
11/1/22,Canada,-0.10648
12/1/22,Canada,-0.13733
1/1/23,Canada,-0.13161
2/1/23,Canada,-0.11406
3/1/23,Canada,-0.12545
4/1/23,Canada,-0.1538
5/1/23,Canada,-0.14352
6/1/23,Canada,-0.1434
7/1/23,Canada,-0.13581
8/1/23,Canada,-0.1525
9/1/23,Canada,-0.12879
10/1/23,Canada,-0.07817
11/1/23,Canada,-0.02215
12/1/23,Canada,-0.01928
1/1/24,Canada,-0.01702
2/1/24,Canada,0.00261
3/1/24,Canada,0.04994
4/1/24,Canada,0.08184
5/1/24,Canada,0.09276
6/1/24,Canada,0.12213
7/1/24,Canada,0.15359
8/1/24,Canada,0.19073
9/1/24,Canada,0.18357
10/1/24,Canada,0.16662
11/1/24,Canada,0.15136
12/1/24,Canada,0.193
1/1/25,Canada,0.19753
2/1/25,Canada,0.18504
3/1/25,Canada,0.14107
4/1/25,Canada,0.14059
5/1/25,Canada,0.1242
6/1/25,Canada,0.10622
7/1/25,Canada,0.09125
8/1/25,Canada,0.08976
