Year,Total investment (in billions of US dollars),Label
2021,0.71,China
2022,0.004,China
2023,1.152945013,China
2024,3.488174145,China
2025,1.478442106,China
2019,0.056111379,Europe
2020,0.02226687,Europe
2021,0.197967975,Europe
2022,0.582556903,Europe
2023,1.513463294,Europe
2024,3.558676884,Europe
2025,3.213005337,Europe
2019,0.591928631,United States
2020,2.293255737,United States
2021,4.258649663,United States
2022,2.995277856,United States
2023,24.427310973,United States
2024,41.749961903,United States
2025,163.642190728,United States
