date,Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",Business and Financial Operations,Computer and Mathematical,Educational Instruction and Library,"Life, Physical, and Social Sciences",Management,Office and Administrative Support
2025-01-01,4.7,10.2,5.9,38.0,9.6,6.4,4.6,8.2
2025-03-01,3.7,9.6,4.4,40.0,11.1,6.9,3.2,7.3
2025-08-01,2.4,8.1,3.1,36.0,12.2,7.2,2.7,8.5
2025-11-01,1.9,9.9,3.2,34.0,15.0,5.4,3.2,8.2
