year,country,netflow_per_10K
1/1/21,Argentina,-0.48765
1/1/22,Argentina,-0.44109
1/1/23,Argentina,-0.38949
1/1/24,Argentina,-0.05434
1/1/25,Argentina,0.0122
1/1/25,Australia*,1.77188
1/1/23,Australia*,1.74689
1/1/24,Australia*,1.7855
1/1/21,Australia*,0.33373
1/1/22,Australia*,1.3559
1/1/21,Austria*,1.4262
1/1/22,Austria*,1.37509
1/1/23,Austria*,1.64592
1/1/24,Austria*,0.903
1/1/25,Austria*,1.49975
1/1/25,Belgium,0.24757
1/1/24,Belgium,0.08004
1/1/21,Belgium,0.43201
1/1/22,Belgium,0.32489
1/1/23,Belgium,0.59222
1/1/21,Brazil,-0.09933
1/1/22,Brazil,-0.21203
1/1/23,Brazil,-0.14141
1/1/24,Brazil,-0.04326
1/1/25,Brazil,-0.04616
1/1/21,Bulgaria*,-0.7842
1/1/22,Bulgaria*,-0.97956
1/1/23,Bulgaria*,-1.24486
1/1/24,Bulgaria*,-1.01405
1/1/25,Bulgaria*,-1.04325
1/1/25,Canada*,0.0695
1/1/24,Canada*,1.22659
1/1/21,Canada*,1.72377
1/1/22,Canada*,2.55544
1/1/23,Canada*,2.52563
1/1/21,Chile,-0.15761
1/1/22,Chile,-0.23654
1/1/23,Chile,-0.22249
1/1/24,Chile,-0.07541
1/1/25,Chile,-0.07385
1/1/21,Costa Rica,-0.09129
1/1/22,Costa Rica,-0.13185
1/1/23,Costa Rica,-0.10092
1/1/24,Costa Rica,-0.17743
1/1/25,Costa Rica,-0.02396
1/1/25,Croatia,-0.07284
1/1/24,Croatia,-0.24391
1/1/23,Croatia,-0.01191
1/1/21,Croatia,-0.20734
1/1/22,Croatia,-0.36583
1/1/21,Cyprus*,1.76166
1/1/22,Cyprus*,9.10128
1/1/23,Cyprus*,5.25048
1/1/24,Cyprus*,0.62372
1/1/25,Cyprus*,2.92662
1/1/21,Czech Republic,0.57223
1/1/22,Czech Republic,0.52757
1/1/23,Czech Republic,0.31176
1/1/24,Czech Republic,0.07405
1/1/25,Czech Republic,0.46133
1/1/25,Denmark,0.83281
1/1/24,Denmark,0.44501
1/1/21,Denmark,0.70056
1/1/22,Denmark,0.74706
1/1/23,Denmark,0.88592
1/1/21,Estonia*,4.01525
1/1/22,Estonia*,3.29145
1/1/23,Estonia*,1.00914
1/1/24,Estonia*,-1.37699
1/1/25,Estonia*,-0.50589
1/1/21,Finland,0.871
1/1/22,Finland,1.34108
1/1/23,Finland,1.32411
1/1/24,Finland,-0.07608
1/1/25,Finland,0.65712
1/1/25,France,0.16374
1/1/24,France,-0.39004
1/1/21,France,0.10527
1/1/22,France,0.03285
1/1/23,France,0.22065
1/1/21,Germany*,1.70221
1/1/22,Germany*,2.36092
1/1/23,Germany*,1.75836
1/1/24,Germany*,0.16728
1/1/25,Germany*,1.08576
1/1/21,Greece,-0.68545
1/1/22,Greece,-0.95723
1/1/23,Greece,-0.53784
1/1/24,Greece,-0.70859
1/1/25,Greece,-0.36709
1/1/24,Hong Kong*,1.14236
1/1/25,Hong Kong*,1.75974
1/1/23,Hong Kong*,0.60532
1/1/21,Hong Kong*,0.02818
1/1/22,Hong Kong*,-0.66229
1/1/21,Hungary*,-1.81958
1/1/22,Hungary*,-2.72595
1/1/23,Hungary*,-2.95559
1/1/24,Hungary*,-3.3577
1/1/25,Hungary*,-2.73925
1/1/21,Iceland,-0.50104
1/1/22,Iceland,-0.13187
1/1/23,Iceland,0.29287
1/1/24,Iceland,-0.11814
1/1/25,Iceland,0.75343
1/1/25,India*,-1.27793
1/1/24,India*,-1.56093
1/1/23,India*,-1.99797
1/1/21,India*,-1.38665
1/1/22,India*,-2.09066
1/1/21,Indonesia,-0.01422
1/1/22,Indonesia,-0.04105
1/1/23,Indonesia,-0.08008
1/1/24,Indonesia,-0.05817
1/1/25,Indonesia,-0.08803
1/1/21,Ireland*,0.65968
1/1/22,Ireland*,1.87225
1/1/23,Ireland*,1.76485
1/1/24,Ireland*,-0.84958
1/1/25,Ireland*,2.4821
1/1/24,Israel*,-1.30757
1/1/23,Israel*,-0.65639
1/1/25,Israel*,-1.00606
1/1/21,Israel*,0.4133
1/1/22,Israel*,1.12544
1/1/21,Italy,-0.03835
1/1/22,Italy,-0.19646
1/1/23,Italy,-0.22444
1/1/24,Italy,-0.37176
1/1/25,Italy,-0.20521
1/1/21,Latvia,0.39745
1/1/22,Latvia,0.59251
1/1/23,Latvia,0.31572
1/1/24,Latvia,-0.39097
1/1/25,Latvia,0.1053
1/1/25,Lithuania*,0.74163
1/1/23,Lithuania*,0.4904
1/1/24,Lithuania*,-0.40704
1/1/21,Lithuania*,1.136
1/1/22,Lithuania*,1.81856
1/1/21,Luxembourg*,5.53951
1/1/22,Luxembourg*,9.36741
1/1/23,Luxembourg*,6.4988
1/1/24,Luxembourg*,5.22562
1/1/25,Luxembourg*,7.75799
1/1/21,Mexico,-0.10011
1/1/22,Mexico,-0.18453
1/1/23,Mexico,-0.15258
1/1/24,Mexico,-0.0534
1/1/25,Mexico,-0.0669
1/1/24,Netherlands,0.14124
1/1/23,Netherlands,1.30512
1/1/25,Netherlands,0.23867
1/1/21,Netherlands,1.04842
1/1/22,Netherlands,1.70351
1/1/25,New Zealand,-0.05896
1/1/24,New Zealand,0.01013
1/1/21,New Zealand,0.21106
1/1/22,New Zealand,0.14684
1/1/23,New Zealand,0.28583
1/1/21,Norway,0.89269
1/1/22,Norway,0.99955
1/1/23,Norway,0.62548
1/1/24,Norway,0.1009
1/1/25,Norway,0.27678
1/1/24,Poland,0.05539
1/1/23,Poland,0.83962
1/1/25,Poland,0.49191
1/1/21,Poland,0.53661
1/1/22,Poland,1.27701
1/1/25,Portugal,0.20428
1/1/24,Portugal,-0.49518
1/1/23,Portugal,0.89623
1/1/22,Portugal,1.04192
1/1/21,Portugal,0.42899
1/1/21,Romania,-0.21914
1/1/22,Romania,-0.21736
1/1/24,Romania,-0.18979
1/1/25,Romania,-0.05636
1/1/23,Romania,-0.03908
1/1/21,Saudi Arabia*,0.23883
1/1/22,Saudi Arabia*,0.49725
1/1/23,Saudi Arabia*,1.06037
1/1/24,Saudi Arabia*,1.7738
1/1/25,Saudi Arabia*,2.02395
1/1/24,Singapore*,1.36429
1/1/25,Singapore*,0.90369
1/1/22,Singapore*,2.19944
1/1/21,Singapore*,-0.15608
1/1/23,Singapore*,1.41942
1/1/21,Slovakia*,-1.2954
1/1/22,Slovakia*,-1.88575
1/1/23,Slovakia*,-1.62537
1/1/24,Slovakia*,-1.90217
1/1/25,Slovakia*,-1.77942
1/1/21,Slovenia,-0.18681
1/1/22,Slovenia,0.04946
