Country,Gender,ai_talent_representation_perc,Year
Croatia,Female,0.36395,2024
Croatia,Male,0.63605,2024
Croatia,Female,0.36551,2025
Croatia,Male,0.63449,2025
Cyprus,Female,0.30435,2016
Cyprus,Male,0.69565,2016
Cyprus,Female,0.31339,2017
Cyprus,Male,0.68661,2017
Cyprus,Female,0.31411,2018
Cyprus,Male,0.68589,2018
Cyprus,Female,0.29481,2019
Cyprus,Male,0.70519,2019
Cyprus,Female,0.28812,2020
Cyprus,Male,0.71188,2020
Cyprus,Female,0.29404,2021
Cyprus,Male,0.70596,2021
Cyprus,Female,0.29016,2022
Cyprus,Male,0.70984,2022
Cyprus,Female,0.30033,2023
Cyprus,Male,0.69967,2023
Cyprus,Female,0.29207,2024
Cyprus,Male,0.70793,2024
Cyprus,Female,0.28764,2025
Cyprus,Male,0.71236,2025
Czech Republic,Female,0.22914,2016
Czech Republic,Male,0.77086,2016
Czech Republic,Female,0.23513,2017
Czech Republic,Male,0.76487,2017
Czech Republic,Female,0.23953,2018
Czech Republic,Male,0.76047,2018
Czech Republic,Female,0.24727,2019
Czech Republic,Male,0.75273,2019
Czech Republic,Female,0.25463,2020
Czech Republic,Male,0.74537,2020
Czech Republic,Female,0.26232,2021
Czech Republic,Male,0.73768,2021
Czech Republic,Female,0.27236,2022
Czech Republic,Male,0.72764,2022
Czech Republic,Female,0.27448,2023
Czech Republic,Male,0.72552,2023
Czech Republic,Female,0.27919,2024
Czech Republic,Male,0.72081,2024
Czech Republic,Female,0.28152,2025
Czech Republic,Male,0.71848,2025
Denmark,Female,0.23855,2016
Denmark,Male,0.76145,2016
Denmark,Female,0.23655,2017
Denmark,Male,0.76345,2017
Denmark,Female,0.23825,2018
Denmark,Male,0.76175,2018
Denmark,Female,0.24093,2019
Denmark,Male,0.75907,2019
Denmark,Female,0.24375,2020
Denmark,Male,0.75625,2020
Denmark,Female,0.25205,2021
Denmark,Male,0.74795,2021
Denmark,Female,0.25884,2022
Denmark,Male,0.74116,2022
Denmark,Female,0.26217,2023
Denmark,Male,0.73783,2023
Denmark,Female,0.26694,2024
Denmark,Male,0.73306,2024
Denmark,Female,0.26974,2025
Denmark,Male,0.73026,2025
Estonia,Female,0.31795,2016
Estonia,Male,0.68205,2016
Estonia,Female,0.32051,2017
Estonia,Male,0.67949,2017
Estonia,Female,0.33558,2018
Estonia,Male,0.66442,2018
Estonia,Female,0.33789,2019
Estonia,Male,0.66211,2019
Estonia,Female,0.33977,2020
Estonia,Male,0.66023,2020
Estonia,Female,0.3417,2021
Estonia,Male,0.6583,2021
Estonia,Female,0.35213,2022
Estonia,Male,0.64787,2022
Estonia,Female,0.35383,2023
Estonia,Male,0.64617,2023
Estonia,Female,0.36063,2024
Estonia,Male,0.63937,2024
Estonia,Female,0.35758,2025
Estonia,Male,0.64242,2025
Finland,Female,0.36407,2016
Finland,Male,0.63593,2016
Finland,Female,0.36068,2017
Finland,Male,0.63932,2017
Finland,Female,0.36247,2018
Finland,Male,0.63753,2018
Finland,Female,0.36113,2019
Finland,Male,0.63887,2019
Finland,Female,0.36532,2020
Finland,Male,0.63468,2020
Finland,Female,0.367,2021
Finland,Male,0.633,2021
Finland,Female,0.37252,2022
Finland,Male,0.62748,2022
Finland,Female,0.37409,2023
Finland,Male,0.62591,2023
Finland,Female,0.37393,2024
Finland,Male,0.62607,2024
Finland,Female,0.3747,2025
Finland,Male,0.6253,2025
France,Female,0.30429,2016
France,Male,0.69571,2016
France,Female,0.30603,2017
France,Male,0.69397,2017
France,Female,0.30507,2018
France,Male,0.69493,2018
France,Female,0.3053,2019
France,Male,0.6947,2019
France,Female,0.305,2020
France,Male,0.695,2020
France,Female,0.30592,2021
France,Male,0.69408,2021
France,Female,0.30851,2022
France,Male,0.69149,2022
France,Female,0.30883,2023
France,Male,0.69117,2023
France,Female,0.3098,2024
France,Male,0.6902,2024
France,Female,0.31016,2025
France,Male,0.68984,2025
Germany,Female,0.20823,2016
Germany,Male,0.79177,2016
Germany,Female,0.21068,2017
Germany,Male,0.78932,2017
Germany,Female,0.21431,2018
Germany,Male,0.78569,2018
Germany,Female,0.2207,2019
Germany,Male,0.7793,2019
Germany,Female,0.2251,2020
Germany,Male,0.7749,2020
Germany,Female,0.2324,2021
Germany,Male,0.7676,2021
Germany,Female,0.23878,2022
Germany,Male,0.76122,2022
Germany,Female,0.24402,2023
Germany,Male,0.75598,2023
Germany,Female,0.24822,2024
Germany,Male,0.75178,2024
Germany,Female,0.25081,2025
Germany,Male,0.74919,2025
Hong Kong,Female,0.28685,2016
Hong Kong,Male,0.71315,2016
Hong Kong,Female,0.28768,2017
Hong Kong,Male,0.71232,2017
Hong Kong,Female,0.29335,2018
Hong Kong,Male,0.70665,2018
Hong Kong,Female,0.28958,2019
Hong Kong,Male,0.71042,2019
Hong Kong,Female,0.29821,2020
Hong Kong,Male,0.70179,2020
Hong Kong,Female,0.30794,2021
Hong Kong,Male,0.69206,2021
Hong Kong,Female,0.31553,2022
Hong Kong,Male,0.68447,2022
Hong Kong,Female,0.32105,2023
Hong Kong,Male,0.67895,2023
Hong Kong,Female,0.32967,2024
Hong Kong,Male,0.67033,2024
Hong Kong,Female,0.33945,2025
Hong Kong,Male,0.66055,2025
India,Female,0.25258,2016
India,Male,0.74742,2016
India,Female,0.25785,2017
India,Male,0.74215,2017
India,Female,0.2622,2018
India,Male,0.7378,2018
India,Female,0.26835,2019
India,Male,0.73165,2019
India,Female,0.27498,2020
India,Male,0.72502,2020
India,Female,0.28657,2021
India,Male,0.71343,2021
India,Female,0.29245,2022
India,Male,0.70755,2022
India,Female,0.29527,2023
India,Male,0.70473,2023
India,Female,0.30488,2024
India,Male,0.69512,2024
India,Female,0.3064,2025
India,Male,0.6936,2025
Ireland,Female,0.29315,2016
Ireland,Male,0.70685,2016
Ireland,Female,0.29787,2017
Ireland,Male,0.70213,2017
Ireland,Female,0.29816,2018
Ireland,Male,0.70184,2018
Ireland,Female,0.29759,2019
Ireland,Male,0.70241,2019
Ireland,Female,0.30007,2020
Ireland,Male,0.69993,2020
Ireland,Female,0.30549,2021
Ireland,Male,0.69451,2021
Ireland,Female,0.31261,2022
Ireland,Male,0.68739,2022
Ireland,Female,0.31756,2023
Ireland,Male,0.68244,2023
Ireland,Female,0.31892,2024
Ireland,Male,0.68108,2024
Ireland,Female,0.32115,2025
Ireland,Male,0.67885,2025
Israel,Female,0.23722,2016
Israel,Male,0.76278,2016
Israel,Female,0.24033,2017
Israel,Male,0.75967,2017
Israel,Female,0.24231,2018
Israel,Male,0.75769,2018
Israel,Female,0.24652,2019
Israel,Male,0.75348,2019
Israel,Female,0.24981,2020
Israel,Male,0.75019,2020
Israel,Female,0.25435,2021
Israel,Male,0.74565,2021
Israel,Female,0.25897,2022
Israel,Male,0.74103,2022
Israel,Female,0.26264,2023
Israel,Male,0.73736,2023
Israel,Female,0.26302,2024
Israel,Male,0.73698,2024
Israel,Female,0.26414,2025
Israel,Male,0.73586,2025
Italy,Female,0.34949,2016
Italy,Male,0.65051,2016
Italy,Female,0.35061,2017
Italy,Male,0.64939,2017
Italy,Female,0.35182,2018
Italy,Male,0.64818,2018
Italy,Female,0.35125,2019
Italy,Male,0.64875,2019
Italy,Female,0.34921,2020
Italy,Male,0.65079,2020
Italy,Female,0.35037,2021
Italy,Male,0.64963,2021
Italy,Female,0.35355,2022
Italy,Male,0.64645,2022
Italy,Female,0.35267,2023
Italy,Male,0.64733,2023
Italy,Female,0.35326,2024
Italy,Male,0.64674,2024
Italy,Female,0.35476,2025
Italy,Male,0.64524,2025
Lithuania,Female,0.32108,2016
Lithuania,Male,0.67892,2016
Lithuania,Female,0.31526,2017
Lithuania,Male,0.68474,2017
Lithuania,Female,0.31398,2018
Lithuania,Male,0.68602,2018
Lithuania,Female,0.32454,2019
Lithuania,Male,0.67546,2019
Lithuania,Female,0.32721,2020
Lithuania,Male,0.67279,2020
Lithuania,Female,0.34009,2021
Lithuania,Male,0.65991,2021
Lithuania,Female,0.34507,2022
Lithuania,Male,0.65493,2022
Lithuania,Female,0.34461,2023
Lithuania,Male,0.65539,2023
Lithuania,Female,0.34111,2024
Lithuania,Male,0.65889,2024
Lithuania,Female,0.33743,2025
Lithuania,Male,0.66257,2025
Luxembourg,Female,0.27067,2016
Luxembourg,Male,0.72933,2016
Luxembourg,Female,0.26929,2017
Luxembourg,Male,0.73071,2017
Luxembourg,Female,0.27722,2018
Luxembourg,Male,0.72278,2018
Luxembourg,Female,0.28159,2019
Luxembourg,Male,0.71841,2019
Luxembourg,Female,0.27748,2020
Luxembourg,Male,0.72252,2020
Luxembourg,Female,0.28702,2021
Luxembourg,Male,0.71298,2021
Luxembourg,Female,0.28488,2022
Luxembourg,Male,0.71512,2022
Luxembourg,Female,0.2885,2023
Luxembourg,Male,0.7115,2023
Luxembourg,Female,0.29097,2024
Luxembourg,Male,0.70903,2024
Luxembourg,Female,0.2986,2025
Luxembourg,Male,0.7014,2025
Mexico,Female,0.26814,2016
Mexico,Male,0.73186,2016
Mexico,Female,0.26943,2017
