AI Job Postings (% of All Job Postings),Sector,Year
0.003542,Waste management and administrative support services,2024
0.008104,Transportation and warehousing,2024
0.009901,"Agriculture, forestry, fishing and hunting",2024
0.010396,Retail trade,2024
0.011937,Public administration,2024
0.017373,"Mining, quarrying, and oil and gas extraction",2024
0.010566,Wholesale trade,2024
0.010761,Real estate and rental and leasing,2024
0.020343,Educational services,2024
0.020001,Utilities,2024
0.016207,Management of companies and enterprises,2024
0.033473,Manufacturing,2024
0.032705,Finance and insurance,2024
0.044096,"Professional, scientific, and technical services",2024
0.078164,Information,2024
0.004633,Waste management and administrative support services,2025
0.012594,Transportation and warehousing,2025
0.013172,"Agriculture, forestry, fishing and hunting",2025
0.01666,Retail trade,2025
0.0169,Public administration,2025
0.0187,"Mining, quarrying, and oil and gas extraction",2025
0.019336,Wholesale trade,2025
0.02082,Real estate and rental and leasing,2025
0.024236,Educational services,2025
0.028871,Utilities,2025
0.032783,Management of companies and enterprises,2025
0.046618,Manufacturing,2025
0.053288,Finance and insurance,2025
0.064865,"Professional, scientific, and technical services",2025
0.132188,Information,2025
