Number of AI Job Postings,Generative AI skill,Label
65557,Generative artificial intelligence,2024
19045,Large language modeling,2024
6152,Prompt engineering,2024
2885,Retrieval augmented generation,2024
1047,Text to speech (TTS),2024
1272,Generative adversarial networks,2024
616,Multimodal models,2024
625,Variational autoencoders,2024
9,Context engineering,2024
628,Stable Diffusion,2024
138188,Generative artificial intelligence,2025
38526,Large language modeling,2025
22227,Prompt engineering,2025
12609,Retrieval augmented generation,2025
1900,Text to speech (TTS),2025
1571,Generative adversarial networks,2025
1459,Multimodal models,2025
717,Variational autoencoders,2025
703,Context engineering,2025
699,Stable Diffusion,2025
