Total Investment (in Billions of U.S. Dollars),Country
0.969507505,Sweden
1.10667214,Japan
1.195808339,Belgium
1.775383542,South Korea
1.818532452,Singapore
2.028065833,Saudi Arabia
2.51848061,Australia
3.58266523,Israel
3.885044997,Germany
4.093183877,India
4.280609883,Canada
4.364053412,France
5.899064837,United Kingdom
12.412093488,China
285.875311074,United States
