Age Band Imputed,Date,Headcount,Jbb Role
Developing (31-34),1/1/21,0.828566939,Software developers
Developing (31-34),2/1/21,0.832023884,Software developers
Developing (31-34),3/1/21,0.862036455,Software developers
Developing (31-34),4/1/21,0.865964802,Software developers
Developing (31-34),5/1/21,0.866121936,Software developers
Developing (31-34),6/1/21,0.87319296,Software developers
Developing (31-34),7/1/21,0.880263985,Software developers
Developing (31-34),8/1/21,0.880421119,Software developers
Developing (31-34),9/1/21,0.889849151,Software developers
Developing (31-34),10/1/21,0.903834067,Software developers
Developing (31-34),11/1/21,0.917976116,Software developers
Developing (31-34),12/1/21,0.916247643,Software developers
Developing (31-34),1/1/22,0.943746072,Software developers
Developing (31-34),2/1/22,0.942489001,Software developers
Developing (31-34),3/1/22,0.950031427,Software developers
Developing (31-34),4/1/22,0.947988686,Software developers
Developing (31-34),5/1/22,0.968101823,Software developers
Developing (31-34),6/1/22,0.958045255,Software developers
Developing (31-34),7/1/22,0.984286612,Software developers
Developing (31-34),8/1/22,0.978472659,Software developers
Developing (31-34),9/1/22,1.013984915,Software developers
Developing (31-34),10/1/22,0.997328724,Software developers
Developing (31-34),11/1/22,1,Software developers
Developing (31-34),12/1/22,1.001571339,Software developers
Developing (31-34),1/1/23,1.014927718,Software developers
Developing (31-34),2/1/23,1.021213074,Software developers
Developing (31-34),3/1/23,1.02514142,Software developers
Developing (31-34),4/1/23,1.033155248,Software developers
Developing (31-34),5/1/23,1.044626021,Software developers
Developing (31-34),6/1/23,1.051225644,Software developers
Developing (31-34),7/1/23,1.054839723,Software developers
Developing (31-34),8/1/23,1.061753614,Software developers
Developing (31-34),9/1/23,1.067096166,Software developers
Developing (31-34),10/1/23,1.072752986,Software developers
Developing (31-34),11/1/23,1.07008171,Software developers
Developing (31-34),12/1/23,1.063953488,Software developers
Developing (31-34),1/1/24,1.071653048,Software developers
Developing (31-34),2/1/24,1.073695789,Software developers
Developing (31-34),3/1/24,1.075895663,Software developers
Developing (31-34),4/1/24,1.072438718,Software developers
Developing (31-34),5/1/24,1.07778127,Software developers
Developing (31-34),6/1/24,1.078095537,Software developers
Developing (31-34),7/1/24,1.068667505,Software developers
Developing (31-34),8/1/24,1.082181018,Software developers
Developing (31-34),9/1/24,1.072438718,Software developers
Developing (31-34),10/1/24,1.075424261,Software developers
Developing (31-34),11/1/24,1.076838466,Software developers
Developing (31-34),12/1/24,1.082023884,Software developers
Developing (31-34),1/1/25,1.08469516,Software developers
Developing (31-34),2/1/25,1.086109365,Software developers
Developing (31-34),3/1/25,1.074638592,Software developers
Developing (31-34),4/1/25,1.07416719,Software developers
Developing (31-34),5/1/25,1.075109994,Software developers
Developing (31-34),6/1/25,1.069138906,Software developers
Developing (31-34),7/1/25,1.073695789,Software developers
Developing (31-34),8/1/25,1.082966688,Software developers
Developing (31-34),9/1/25,1.074481458,Software developers
Developing (31-34),10/1/25,1.086109365,Software developers
Developing (31-34),11/1/25,1.080452546,Software developers
Developing (31-34),12/1/25,1.073381521,Software developers
Early Career 1 (22-25),1/1/21,0.876517696,Software developers
Early Career 1 (22-25),2/1/21,0.881425988,Software developers
Early Career 1 (22-25),3/1/21,0.878584345,Software developers
Early Career 1 (22-25),4/1/21,0.91681736,Software developers
Early Career 1 (22-25),5/1/21,0.875484371,Software developers
Early Career 1 (22-25),6/1/21,0.896667528,Software developers
Early Career 1 (22-25),7/1/21,0.92560062,Software developers
Early Career 1 (22-25),8/1/21,0.911650736,Software developers
Early Career 1 (22-25),9/1/21,0.91035908,Software developers
Early Career 1 (22-25),10/1/21,0.936708861,Software developers
Early Career 1 (22-25),11/1/21,0.950917076,Software developers
Early Career 1 (22-25),12/1/21,0.941100491,Software developers
Early Career 1 (22-25),1/1/22,0.95840868,Software developers
Early Career 1 (22-25),2/1/22,0.957633686,Software developers
Early Career 1 (22-25),3/1/22,0.953242056,Software developers
Early Career 1 (22-25),4/1/22,0.955567037,Software developers
Early Career 1 (22-25),5/1/22,0.947817102,Software developers
Early Career 1 (22-25),6/1/22,0.991733402,Software developers
Early Career 1 (22-25),7/1/22,1.012658228,Software developers
Early Career 1 (22-25),8/1/22,1.009558254,Software developers
Early Career 1 (22-25),9/1/22,1.026608112,Software developers
Early Career 1 (22-25),10/1/22,1.005424955,Software developers
Early Career 1 (22-25),11/1/22,1,Software developers
Early Career 1 (22-25),12/1/22,0.975458538,Software developers
Early Career 1 (22-25),1/1/23,0.963833635,Software developers
Early Career 1 (22-25),2/1/23,0.954792043,Software developers
Early Career 1 (22-25),3/1/23,0.956083699,Software developers
Early Career 1 (22-25),4/1/23,0.92560062,Software developers
Early Career 1 (22-25),5/1/23,0.92560062,Software developers
Early Career 1 (22-25),6/1/23,0.909842418,Software developers
Early Career 1 (22-25),7/1/23,0.915525704,Software developers
Early Career 1 (22-25),8/1/23,0.912942392,Software developers
Early Career 1 (22-25),9/1/23,0.923275639,Software developers
Early Career 1 (22-25),10/1/23,0.902350814,Software developers
Early Career 1 (22-25),11/1/23,0.872642728,Software developers
Early Career 1 (22-25),12/1/23,0.858692844,Software developers
Early Career 1 (22-25),1/1/24,0.869026091,Software developers
Early Career 1 (22-25),2/1/24,0.871351072,Software developers
Early Career 1 (22-25),3/1/24,0.867992767,Software developers
Early Career 1 (22-25),4/1/24,0.858176182,Software developers
Early Career 1 (22-25),5/1/24,0.858176182,Software developers
Early Career 1 (22-25),6/1/24,0.876259365,Software developers
Early Career 1 (22-25),7/1/24,0.86876776,Software developers
Early Career 1 (22-25),8/1/24,0.883750969,Software developers
Early Career 1 (22-25),9/1/24,0.869284423,Software developers
Early Career 1 (22-25),10/1/24,0.871351072,Software developers
Early Career 1 (22-25),11/1/24,0.860242831,Software developers
Early Career 1 (22-25),12/1/24,0.843967967,Software developers
Early Career 1 (22-25),1/1/25,0.843451305,Software developers
Early Career 1 (22-25),2/1/25,0.841642986,Software developers
Early Career 1 (22-25),3/1/25,0.821493154,Software developers
Early Career 1 (22-25),4/1/25,0.808059933,Software developers
Early Career 1 (22-25),5/1/25,0.798243348,Software developers
Early Career 1 (22-25),6/1/25,0.817101524,Software developers
Early Career 1 (22-25),7/1/25,0.830793077,Software developers
Early Career 1 (22-25),8/1/25,0.826659778,Software developers
Early Career 1 (22-25),9/1/25,0.826401447,Software developers
Early Career 1 (22-25),10/1/25,0.821234823,Software developers
Early Career 1 (22-25),11/1/25,0.814518212,Software developers
Early Career 1 (22-25),12/1/25,0.802634978,Software developers
Early Career 2 (26-30),1/1/21,0.881627463,Software developers
Early Career 2 (26-30),2/1/21,0.896376351,Software developers
Early Career 2 (26-30),3/1/21,0.892816275,Software developers
Early Career 2 (26-30),4/1/21,0.900063573,Software developers
Early Career 2 (26-30),5/1/21,0.893324857,Software developers
Early Career 2 (26-30),6/1/21,0.898283535,Software developers
Early Career 2 (26-30),7/1/21,0.906802289,Software developers
Early Career 2 (26-30),8/1/21,0.903496503,Software developers
Early Career 2 (26-30),9/1/21,0.907438017,Software developers
