% change of AI talent concentration,Country
0.7534883720930232,Turkey
0.7577639751552794,Argentina
0.771505376344086,Spain
0.8229166666666666,Chile
0.8936170212765957,Costa Rica
0.8936605316973413,Denmark
0.8954248366013072,Uruguay
0.930232558139535,Iceland
1.0719999999999998,Brazil
1.076502732240437,Indonesia
1.1093247588424437,Portugal
1.116331096196868,Cyprus
1.1256038647342999,Saudi Arabia
1.2043478260869565,India
1.21160409556314,United Arab Emirates
