fig_id,entity_type,entity_name,year,variable,value
fig_6.1.8,model,AlphaFold 3,2024,fig_6.1.8_Model Number of Parameters,370000000
fig_6.1.8,model,ESM3,2024,fig_6.1.8_Date of Release,7/1/24
fig_6.1.8,model,ESM3,2024,fig_6.1.8_Model Number of Parameters,98000000000
fig_6.1.8,model,HelixFold3,2024,fig_6.1.8_Date of Release,8/15/24
fig_6.1.8,model,HelixFold3,2024,fig_6.1.8_Model Number of Parameters,370000000
fig_6.1.8,model,Chai-1,2024,fig_6.1.8_Date of Release,9/2/24
fig_6.1.8,model,Chai-1,2024,fig_6.1.8_Model Number of Parameters,440000000
fig_6.1.8,model,Boltz-1,2024,fig_6.1.8_Date of Release,11/19/24
fig_6.1.8,model,Boltz-1,2024,fig_6.1.8_Model Number of Parameters,610000000
fig_6.1.8,model,Boltz-2,2025,fig_6.1.8_Date of Release,6/14/25
fig_6.1.8,model,Boltz-2,2025,fig_6.1.8_Model Number of Parameters,521000000
fig_6.1.8,model,Protenix-Tiny,2025,fig_6.1.8_Date of Release,7/7/25
fig_6.1.8,model,Protenix-Tiny,2025,fig_6.1.8_Model Number of Parameters,109000000
fig_6.1.8,model,Protenix-Mini,2025,fig_6.1.8_Date of Release,7/17/25
fig_6.1.8,model,Protenix-Mini,2025,fig_6.1.8_Model Number of Parameters,135000000
fig_6.1.8,model,SimpleFold,2025,fig_6.1.8_Date of Release,7/23/25
fig_6.1.8,model,SimpleFold,2025,fig_6.1.8_Model Number of Parameters,3000000000
fig_6.1.8,model,RosettaFold-3,2025,fig_6.1.8_Date of Release,8/15/25
fig_6.1.8,model,RosettaFold-3,2025,fig_6.1.8_Model Number of Parameters,730000000
fig_6.1.8,model,Protenix v0.7,2025,fig_6.1.8_Date of Release,11/5/25
fig_6.1.8,model,Protenix v0.7,2025,fig_6.1.8_Model Number of Parameters,370000000
fig_6.1.8,model,SeedFold,2025,fig_6.1.8_Date of Release,12/30/25
fig_6.1.8,model,SeedFold,2025,fig_6.1.8_Model Number of Parameters,923000000
fig_6.1.9,model,Chai-1,2024,fig_6.1.9_Date of Release,9/2/24
fig_6.1.9,model,Chai-1,2024,fig_6.1.9_Model Performance,0.5123
fig_6.1.9,model,Chai-1,2024,fig_6.1.9_Parameters,440M
fig_6.1.9,model,HelixFold3,2024,fig_6.1.9_Date of Release,8/15/24
fig_6.1.9,model,HelixFold3,2024,fig_6.1.9_Model Performance,0.5182
fig_6.1.9,model,HelixFold3,2024,fig_6.1.9_Parameters,370M
fig_6.1.9,model,Boltz-1,2024,fig_6.1.9_Date of Release,11/19/24
fig_6.1.9,model,Boltz-1,2024,fig_6.1.9_Model Performance,0.5504
fig_6.1.9,model,Boltz-1,2024,fig_6.1.9_Parameters,610M
fig_6.1.9,model,AlphaFold 3,2024,fig_6.1.9_Date of Release,5/8/24
fig_6.1.9,model,AlphaFold 3,2024,fig_6.1.9_Model Performance,0.649
fig_6.1.9,model,AlphaFold 3,2024,fig_6.1.9_Parameters,370M
fig_6.1.9,model,Protenix v0.7,2025,fig_6.1.9_Date of Release,11/5/25
fig_6.1.9,model,Protenix v0.7,2025,fig_6.1.9_Model Performance,0.507
fig_6.1.9,model,Protenix v0.7,2025,fig_6.1.9_Parameters,368M
fig_6.1.9,model,Boltz-2,2025,fig_6.1.9_Date of Release,6/14/25
fig_6.1.9,model,Boltz-2,2025,fig_6.1.9_Model Performance,0.539
fig_6.1.9,model,Boltz-2,2025,fig_6.1.9_Parameters,521M
fig_6.1.9,model,RosettaFold-3,2025,fig_6.1.9_Date of Release,8/15/25
fig_6.1.9,model,RosettaFold-3,2025,fig_6.1.9_Model Performance,0.5728
fig_6.1.9,model,RosettaFold-3,2025,fig_6.1.9_Parameters,730M
fig_6.1.9,model,SeedFold,2025,fig_6.1.9_Date of Release,12/30/25
fig_6.1.9,model,SeedFold,2025,fig_6.1.9_Model Performance,0.631
fig_6.1.9,model,SeedFold,2025,fig_6.1.9_Parameters,923M
fig_6.1.10,category,Overall,,fig_6.1.10_Succes rate,85.86744639
fig_6.1.10,category,BoltzGen,,fig_6.1.10_Succes rate,98.13084112
fig_6.1.10,category,BindCraft,,fig_6.1.10_Succes rate,88.88888889
fig_6.1.10,category,RDFDiffusion,,fig_6.1.10_Succes rate,88.23529412
fig_6.1.10,category,Germinal,,fig_6.1.10_Succes rate,28.57142857
fig_6.1.10,category,Mosaic,,fig_6.1.10_Succes rate,100
fig_6.1.10,category,Overall,,fig_6.1.10_Succes rate,9.649122807
fig_6.1.10,category,BoltzGen,,fig_6.1.10_Succes rate,1.869158879
fig_6.1.10,category,BindCraft,,fig_6.1.10_Succes rate,7.407407407
fig_6.1.10,category,RDFDiffusion,,fig_6.1.10_Succes rate,17.64705882
fig_6.1.10,category,Germinal,,fig_6.1.10_Succes rate,0
fig_6.1.10,category,Mosaic,,fig_6.1.10_Succes rate,88.88888889
fig_6.1.11,global,Global,2025,fig_6.1.11_Number of publications,24
fig_6.1.11,global,Global,2024,fig_6.1.11_Number of publications,16
fig_6.1.11,global,Global,2023,fig_6.1.11_Number of publications,14
fig_6.1.11,global,Global,2022,fig_6.1.11_Number of publications,10
fig_6.1.11,global,Global,2021,fig_6.1.11_Number of publications,14
fig_6.1.11,global,Global,2020,fig_6.1.11_Number of publications,7
fig_6.1.11,global,Global,2019,fig_6.1.11_Number of publications,9
fig_6.1.11,global,Global,2018,fig_6.1.11_Number of publications,6
fig_6.1.12,model,Enformer (250M),2021,fig_6.1.12_Model Size,246000000
fig_6.1.12,model,Enformer (250M),2021,fig_6.1.12_Model Performance,0.375
fig_6.1.12,model,Borzoi (190M),2023,fig_6.1.12_Model Size,186000000
fig_6.1.12,model,Borzoi (190M),2023,fig_6.1.12_Model Performance,0.4
fig_6.1.12,model,Evo 2 (40B),2025,fig_6.1.12_Model Size,40000000000
fig_6.1.12,model,Evo 2 (40B),2025,fig_6.1.12_Model Performance,0.525
fig_6.1.12,model,GPN-Star (200M),2025,fig_6.1.12_Model Size,200000000
fig_6.1.12,model,GPN-Star (200M),2025,fig_6.1.12_Model Performance,0.75
fig_6.1.13,global,Global,2021,fig_6.1.13_Number of publications,2
fig_6.1.13,global,Global,2022,fig_6.1.13_Number of publications,16
fig_6.1.13,global,Global,2023,fig_6.1.13_Number of publications,171
fig_6.1.13,global,Global,2024,fig_6.1.13_Number of publications,314
fig_6.1.13,global,Global,2025,fig_6.1.13_Number of publications,462
fig_6.2.3,global,Global,2011,fig_6.2.3_Number of papers reporting prospective clinical trials,2
fig_6.2.3,global,Global,2012,fig_6.2.3_Number of papers reporting prospective clinical trials,3
fig_6.2.3,global,Global,2013,fig_6.2.3_Number of papers reporting prospective clinical trials,3
fig_6.2.3,global,Global,2014,fig_6.2.3_Number of papers reporting prospective clinical trials,6
fig_6.2.3,global,Global,2015,fig_6.2.3_Number of papers reporting prospective clinical trials,5
fig_6.2.3,global,Global,2016,fig_6.2.3_Number of papers reporting prospective clinical trials,6
fig_6.2.3,global,Global,2017,fig_6.2.3_Number of papers reporting prospective clinical trials,14
fig_6.2.3,global,Global,2018,fig_6.2.3_Number of papers reporting prospective clinical trials,34
fig_6.2.3,global,Global,2019,fig_6.2.3_Number of papers reporting prospective clinical trials,58
fig_6.2.3,global,Global,2020,fig_6.2.3_Number of papers reporting prospective clinical trials,99
fig_6.2.3,global,Global,2021,fig_6.2.3_Number of papers reporting prospective clinical trials,160
fig_6.2.3,global,Global,2022,fig_6.2.3_Number of papers reporting prospective clinical trials,203
fig_6.2.3,global,Global,2023,fig_6.2.3_Number of papers reporting prospective clinical trials,282
fig_6.2.3,global,Global,2024,fig_6.2.3_Number of papers reporting prospective clinical trials,417
fig_6.2.3,global,Global,2025,fig_6.2.3_Number of papers reporting prospective clinical trials,536
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,53.75
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,90.74074074074075
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,60.82089552238806
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,88.88888888888889
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,80.43478260869566
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,35.0
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,48.14814814814815
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,35.82089552238806
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,31.94444444444444
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,56.52173913043478
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,23.125
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,48.14814814814815
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,20.14925373134328
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,18.05555555555556
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,65.21739130434783
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,52.5
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,36.11111111111111
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,63.04347826086956
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,19.40298507462687
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,29.16666666666667
fig_6.2.4,category,GPT-4 Only,,fig_6.2.4_total_pct,32.5
fig_6.2.4,category,GPT-4 Only,,fig_6.2.4_total_pct,51.85185185185185
fig_6.2.4,category,GPT-4 Only,,fig_6.2.4_total_pct,43.28358208955224
fig_6.2.4,category,GPT-4 Only,,fig_6.2.4_total_pct,38.88888888888889
fig_6.2.4,category,GPT-4 Only,,fig_6.2.4_total_pct,65.21739130434783
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,22.5
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,43.28358208955224
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,30.55555555555556
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,60.8695652173913
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,81.48148148148148
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,41.66666666666666
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,89.1304347826087
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,33.75
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,66.66666666666667
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,34.32835820895522
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,50.0
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,63.04347826086956
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,41.25
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,62.96296296296296
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,19.40298507462687
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,22.5
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,55.55555555555556
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,29.85074626865672
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,12.5
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,57.4074074074074
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,33.20895522388059
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,45.83333333333334
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,54.34782608695652
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,27.5
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,62.96296296296296
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,28.35820895522388
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,30.55555555555556
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,60.8695652173913
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,13.75
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,35.18518518518518
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,21.64179104477612
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,27.77777777777778
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,43.47826086956522
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,47.5
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,61.11111111111111
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,47.38805970149254
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,29.16666666666667
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,69.56521739130434
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,56.25
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,44.02985074626866
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,25.0
fig_6.2.4,category,Physicians + Resources,,fig_6.2.4_total_pct,50.0
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,37.03703703703704
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,27.23880597014925
fig_6.2.4,category,Physicians + GPT-4,,fig_6.2.4_total_pct,47.82608695652174
